aceleró	aceleraremos
acordó	acordaremos
actuó	actuaremos
bailó	bailaremos
cayó	caeremos
caminó	caminaremos
cantó	cantaremos
comprobó	comprobaremos
concluyó	concluiremos
confirmó	confirmaremos
controló	controlaremos
convirtió	convertiremos
coordinó	coordinaremos
cumplió	cumpliremos
descargó	descargaremos
determinó	determinaremos
disfrutó	disfrutaremos
ejecutó	ejecutaremos
ejerció	ejerceremos
eligió	elegiremos
escribió	escribiremos
evadió	evadiremos
exploró	exploraremos
imaginó	imaginaremos
informó	informaremos
intentó	intentaremos
involucró	involucraremos
limpió	limpiaremos
llevó	llevaremos
lloró	lloraremos
localizó	localizaremos
manejó	manejaremos
mencionó	mencionaremos
murió	moriremos
necesitó	necesitaremos
organizó	organizaremos
pareció	pareceremos
reemplazó	reemplazaremos
reforzó	reforzaremos
fue	seremos
sirvió	serviremos
señaló	señalaremos
solicitó	solicitaremos
sugirió	sugeriremos
supervisó	supervisaremos
tomó	tomaremos
trabajó	trabajaremos
vendió	venderemos
vivió	viviremos
votó	votaremos
