aceleraba	acelerarían
aceptaba	aceptarían
adoptaba	adoptarían
animaba	animarían
aparecía	aparecerían
aplicaba	aplicarían
asistía	asistirían
caía	caerían
causaba	causarían
cerraba	cerrarían
completaba	completarían
comprobaba	comprobarían
concluía	concluirían
crecía	crecerían
daba	darían
definía	definirían
designaba	designarían
destacaba	destacarían
ejecutaba	ejecutarían
elaboraba	elaborarían
escuchaba	escucharían
evadía	evadirían
evaluaba	evaluarían
explicaba	explicarían
exploraba	explorarían
financiaba	financiarían
habilitaba	habilitarían
imponía	impondrían
iniciaba	iniciarían
llamaba	llamarían
llegaba	llegarían
mostraba	mostrarían
obtenía	obtendrían
pasaba	pasarían
prevenía	prevendrían
promovía	promoverían
realizaba	realizarían
recibía	recibirían
reconocía	reconocerían
recuperaba	recuperarían
reducía	reducirían
reemplazaba	reemplazarían
relacionaba	relacionarían
soportaba	soportarían
supervisaba	supervisarían
tenía	tendrían
tocaba	tocarían
trabajaba	trabajarían
veía	verían
visitaba	visitarían
