abro	abrí
actúo	actué
adopto	adopté
anuncio	anuncié
aumento	aumenté
cambio	cambié
cierro	cerré
comienzo	comencé
comparto	compartí
concluyo	concluí
consulto	consulté
coopero	cooperé
decido	decidí
demuestro	demostré
dependo	dependí
desempeño	desempeñé
designo	designé
destaco	destaqué
elimino	eliminé
enfrento	enfrenté
entro	entré
escribo	escribí
establezco	establecí
evalúo	evalué
explico	expliqué
exploro	exploré
financio	financié
garantizo	garanticé
gestiono	gestioné
hago	hice
leo	leí
limito	limité
localizo	localicé
manejo	manejé
modifico	modifiqué
ofrezco	ofrecí
opero	operé
parto	partí
puedo	pude
pruebo	probé
protejo	protegí
realizo	realicé
refuerzo	reforcé
represento	representé
resuelvo	resolví
salvo	salvé
sugiero	sugerí
superviso	supervisé
traigo	traje
vengo	vine
