anunciaba	anunciaron
aparecía	aparecieron
asistía	asistieron
caía	cayeron
conseguía	consiguieron
conservaba	conservaron
consideraba	consideraron
creía	creyeron
daba	dieron
definía	definieron
destruía	destruyeron
determinaba	determinaron
dormía	durmieron
elaboraba	elaboraron
eliminaba	eliminaron
enviaba	enviaron
escapaba	escaparon
evadía	evadieron
explicaba	explicaron
fallaba	fallaron
financiaba	financiaron
fortalecía	fortalecieron
habilitaba	habilitaron
iniciaba	iniciaron
instalaba	instalaron
localizaba	localizaron
mantenía	mantuvieron
mejoraba	mejoraron
mencionaba	mencionaron
ofrecía	ofrecieron
participaba	participaron
partía	partieron
pedía	pidieron
perdía	perdieron
permitía	permitieron
ponía	pusieron
preguntaba	preguntaron
presentaba	presentaron
publicaba	publicaron
reemplazaba	reemplazaron
regresaba	regresaron
relacionaba	relacionaron
robaba	robaron
señalaba	señalaron
sugería	sugirieron
supervisaba	supervisaron
trabajaba	trabajaron
trataba	trataron
utilizaba	utilizaron
verificaba	verificaron
