abandonaban	abandonarás
agradecían	agradecerás
avanzaban	avanzarás
caían	caerás
combatían	combatirás
completaban	completarás
comprobaban	comprobarás
controlaban	controlarás
cumplían	cumplirás
daban	darás
decidían	decidirás
descargaban	descargarás
designaban	designarás
destacaban	destacarás
dormían	dormirás
entendían	entenderás
establecían	establecerás
estaban	estarás
explicaban	explicarás
expresaban	expresarás
fallaban	fallarás
formaban	formarás
gastaban	gastarás
habilitaban	habilitarás
hablaban	hablarás
investigaban	investigarás
jugaban	jugarás
limpiaban	limpiarás
manejaban	manejarás
mejoraban	mejorarás
mencionaban	mencionarás
necesitaban	necesitarás
paraban	pararás
permanecían	permanecerás
producían	producirás
promovían	promoverás
proporcionaban	proporcionarás
recibían	recibirás
recuperaban	recuperarás
resolvían	resolverás
señalaban	señalarás
soportaban	soportarás
sugerían	sugerirás
tenían	tendrás
trabajaban	trabajarás
utilizaban	utilizarás
venían	vendrás
verificaban	verificarás
vivían	vivirás
volvían	volverás
