abordábamos	abordarían
agradecíamos	agradecerían
alcanzábamos	alcanzarían
analizábamos	analizarían
bailábamos	bailarían
cantábamos	cantarían
celebrábamos	celebrarían
comenzábamos	comenzarían
conseguíamos	conseguirían
contábamos	contarían
convertíamos	convertirían
corríamos	correrían
cubríamos	cubrirían
demostrábamos	demostrarían
descargábamos	descargarían
determinábamos	determinarían
ejercíamos	ejercerían
elaborábamos	elaborarían
eliminábamos	eliminarían
escribíamos	escribirían
establecíamos	establecerían
fallábamos	fallarían
financiábamos	financiarían
fomentábamos	fomentarían
gestionábamos	gestionarían
habíamos	habrían
impedíamos	impedirían
imponíamos	impondrían
incorporábamos	incorporarían
instalábamos	instalarían
limpiábamos	limpiarían
llamábamos	llamarían
llevábamos	llevarían
parecíamos	parecerían
perdíamos	perderían
permanecíamos	permanecerían
preparábamos	prepararían
preveníamos	prevendrían
proveíamos	proveerían
publicábamos	publicarían
requeríamos	requerirían
satisfacíamos	satisfarían
sentábamos	sentarían
servíamos	servirían
superábamos	superarían
tocábamos	tocarían
trabajábamos	trabajarían
traíamos	traerían
uníamos	unirían
verificábamos	verificarían
