abandonáis	abandonaba
aceleráis	aceleraba
aceptáis	aceptaba
actuáis	actuaba
administráis	administraba
aparecéis	aparecía
aplicáis	aplicaba
atraéis	atraía
combatís	combatía
completáis	completaba
compráis	compraba
confirmáis	confirmaba
consideráis	consideraba
construís	construía
demostráis	demostraba
descargáis	descargaba
descubrís	descubría
elaboráis	elaboraba
encontráis	encontraba
estáis	estaba
existís	existía
firmáis	firmaba
formuláis	formulaba
gestionáis	gestionaba
guardáis	guardaba
indicáis	indicaba
integráis	integraba
limpiáis	limpiaba
miráis	miraba
morís	moría
necesitáis	necesitaba
observáis	observaba
obtenéis	obtenía
ocurrís	ocurría
operáis	operaba
oís	oía
participáis	participaba
presentáis	presentaba
producís	producía
proponéis	proponía
relacionáis	relacionaba
resolvéis	resolvía
revisáis	revisaba
robáis	robaba
sacáis	sacaba
sois	era
sugerís	sugería
superáis	superaba
utilizáis	utilizaba
vendéis	vendía
