abandonabas	abandonó
abrías	abrió
aceptabas	aceptó
alentabas	alentó
aplicabas	aplicó
aprovechabas	aprovechó
atraías	atrajo
avanzabas	avanzó
ayudabas	ayudó
bebías	bebió
buscabas	buscó
comenzabas	comenzó
comprendías	comprendió
comprobabas	comprobó
confiabas	confió
conseguías	consiguió
consolidabas	consolidó
coordinabas	coordinó
demostrabas	demostró
describías	describió
designabas	designó
dirigías	dirigió
ejercías	ejerció
elegías	eligió
encontrabas	encontró
estudiabas	estudió
examinabas	examinó
gastabas	gastó
habías	hubo
indicabas	indicó
intentabas	intentó
invertías	invirtió
involucrabas	involucró
ibas	fue
leías	leyó
localizabas	localizó
mejorabas	mejoró
operabas	operó
parecías	pareció
partías	partió
preguntabas	preguntó
probabas	probó
proponías	propuso
publicabas	publicó
recibías	recibió
resolvías	resolvió
revisabas	revisó
sentabas	sentó
eras	fue
utilizabas	utilizó
