abandonabas	abandonábamos
accedías	accedíamos
alentabas	alentábamos
aparecías	aparecíamos
atraías	atraíamos
buscabas	buscábamos
casabas	casábamos
celebrabas	celebrábamos
comenzabas	comenzábamos
comías	comíamos
conseguías	conseguíamos
construías	construíamos
corrías	corríamos
dabas	dábamos
defendías	defendíamos
designabas	designábamos
dirigías	dirigíamos
encontrabas	encontrábamos
esperabas	esperábamos
examinabas	examinábamos
expresabas	expresábamos
gastabas	gastábamos
gestionabas	gestionábamos
hacías	hacíamos
imaginabas	imaginábamos
impedías	impedíamos
implicabas	implicábamos
informabas	informábamos
intentabas	intentábamos
limitabas	limitábamos
modificabas	modificábamos
movías	movíamos
observabas	observábamos
ocurrías	ocurríamos
parecías	parecíamos
partías	partíamos
permitías	permitíamos
proporcionabas	proporcionábamos
reconocías	reconocíamos
relacionabas	relacionábamos
requerías	requeríamos
salías	salíamos
seleccionabas	seleccionábamos
sentías	sentíamos
señalabas	señalábamos
sumabas	sumábamos
terminabas	terminábamos
venías	veníamos
veías	veíamos
viajabas	viajábamos
