accedimos	accederías
acordamos	acordarías
anunciamos	anunciarías
aplicamos	aplicarías
aumentamos	aumentarías
buscamos	buscarías
cambiamos	cambiarías
combatimos	combatirías
compartimos	compartirías
conseguimos	conseguirías
conservamos	conservarías
consideramos	considerarías
construimos	construirías
decidimos	decidirías
definimos	definirías
demostramos	demostrarías
dependimos	dependerías
descargamos	descargarías
describimos	describirías
determinamos	determinarías
disfrutamos	disfrutarías
ejercimos	ejercerías
empezamos	empezarías
enviamos	enviarías
evaluamos	evaluarías
examinamos	examinarías
existimos	existirías
facilitamos	facilitarías
fallamos	fallarías
impusimos	impondrías
incrementamos	incrementarías
iniciamos	iniciarías
llevamos	llevarías
medimos	medirías
movimos	moverías
necesitamos	necesitarías
operamos	operarías
partimos	partirías
pensamos	pensarías
presentamos	presentarías
proporcionamos	proporcionarías
reconocimos	reconocerías
respondimos	responderías
supimos	sabrías
servimos	servirías
solicitamos	solicitarías
sufrimos	sufrirías
sumamos	sumarías
viajamos	viajarías
visitamos	visitarías
