abrimos	abriríamos
acordamos	acordaríamos
adquirimos	adquiriríamos
agradecemos	agradeceríamos
asumimos	asumiríamos
añadimos	añadiríamos
caminamos	caminaríamos
comemos	comeríamos
confiamos	confiaríamos
conservamos	conservaríamos
controlamos	controlaríamos
cooperamos	cooperaríamos
corremos	correríamos
cortamos	cortaríamos
creemos	creeríamos
cubrimos	cubriríamos
cumplimos	cumpliríamos
dependemos	dependeríamos
descargamos	descargaríamos
descubrimos	descubriríamos
dirigimos	dirigiríamos
discutimos	discutiríamos
ejercemos	ejerceríamos
enviamos	enviaríamos
escuchamos	escucharíamos
evitamos	evitaríamos
facilitamos	facilitaríamos
fomentamos	fomentaríamos
integramos	integraríamos
limitamos	limitaríamos
limpiamos	limpiaríamos
matamos	mataríamos
modificamos	modificaríamos
mostramos	mostraríamos
movemos	moveríamos
necesitamos	necesitaríamos
permitimos	permitiríamos
probamos	probaríamos
producimos	produciríamos
promocionamos	promocionaríamos
quedamos	quedaríamos
realizamos	realizaríamos
recordamos	recordaríamos
requerimos	requeriríamos
señalamos	señalaríamos
sugerimos	sugeriríamos
traemos	traeríamos
vendemos	venderíamos
vemos	veríamos
volvemos	volveríamos
