abordando	abordasteis
accediendo	accedisteis
aceptando	aceptasteis
adquiriendo	adquiristeis
animando	animasteis
aprovechando	aprovechasteis
cambiando	cambiasteis
cerrando	cerrasteis
confirmando	confirmasteis
conociendo	conocisteis
cooperando	cooperasteis
creando	creasteis
creciendo	crecisteis
cuidando	cuidasteis
discutiendo	discutisteis
eligiendo	elegisteis
eliminando	eliminasteis
enfrentando	enfrentasteis
enviando	enviasteis
estudiando	estudiasteis
evadiendo	evadisteis
explorando	explorasteis
financiando	financiasteis
hablando	hablasteis
imaginando	imaginasteis
incluyendo	incluisteis
indicando	indicasteis
informando	informasteis
introduciendo	introdujisteis
investigando	investigasteis
llegando	llegasteis
luchando	luchasteis
ocurriendo	ocurristeis
olvidando	olvidasteis
pareciendo	parecisteis
participando	participasteis
presentando	presentasteis
probando	probasteis
produciendo	produjisteis
promoviendo	promovisteis
proporcionando	proporcionasteis
reconociendo	reconocisteis
reduciendo	redujisteis
sabiendo	supisteis
saliendo	salisteis
sintiendo	sentisteis
siendo	fuisteis
sobreviviendo	sobrevivisteis
sumando	sumasteis
trayendo	trajisteis
