abrirás	abriría
accederás	accedería
acelerarás	aceleraría
actuarás	actuaría
analizarás	analizaría
animarás	animaría
apoyarás	apoyaría
asegurarás	aseguraría
atenderás	atendería
avanzarás	avanzaría
casarás	casaría
causarás	causaría
cerrarás	cerraría
conducirás	conduciría
considerarás	consideraría
continuarás	continuaría
controlarás	controlaría
crearás	crearía
creerás	creería
cumplirás	cumpliría
decidirás	decidiría
dejarás	dejaría
destruirás	destruiría
determinarás	determinaría
enseñarás	enseñaría
entrarás	entraría
escribirás	escribiría
estudiarás	estudiaría
formularás	formularía
habilitarás	habilitaría
incorporarás	incorporaría
intentarás	intentaría
introducirás	introduciría
modificarás	modificaría
mostrarás	mostraría
obtendrás	obtendría
ofrecerás	ofrecería
pararás	pararía
pedirás	pediría
perderás	perdería
protegerás	protegería
sabrás	sabría
seleccionarás	seleccionaría
supervisarás	supervisaría
tendrás	tendría
traerás	traería
usarás	usaría
utilizarás	utilizaría
vendrás	vendría
volarás	volaría
