accediendo	accederíamos
adquiriendo	adquiriríamos
alentando	alentaríamos
casando	casaríamos
comenzando	comenzaríamos
comprando	compraríamos
comprendiendo	comprenderíamos
concluyendo	concluiríamos
conduciendo	conduciríamos
conociendo	conoceríamos
conservando	conservaríamos
consultando	consultaríamos
conteniendo	contendríamos
convirtiendo	convertiríamos
coordinando	coordinaríamos
corriendo	correríamos
defendiendo	defenderíamos
dependiendo	dependeríamos
desarrollando	desarrollaríamos
deteniendo	detendríamos
determinando	determinaríamos
dirigiendo	dirigiríamos
elaborando	elaboraríamos
encontrando	encontraríamos
enfrentando	enfrentaríamos
estando	estaríamos
evaluando	evaluaríamos
existiendo	existiríamos
financiando	financiaríamos
ganando	ganaríamos
generando	generaríamos
incorporando	incorporaríamos
intentando	intentaríamos
introduciendo	introduciríamos
jugando	jugaríamos
llevando	llevaríamos
manejando	manejaríamos
modificando	modificaríamos
mostrando	mostraríamos
pagando	pagaríamos
pidiendo	pediríamos
permaneciendo	permaneceríamos
poniendo	pondríamos
preparando	prepararíamos
promocionando	promocionaríamos
recibiendo	recibiríamos
reduciendo	reduciríamos
respondiendo	responderíamos
sirviendo	serviríamos
viniendo	vendríamos
