abordasteis	abordarían
abristeis	abrirían
actuasteis	actuarían
alcanzasteis	alcanzarían
anunciasteis	anunciarían
apoyasteis	apoyarían
aumentasteis	aumentarían
celebrasteis	celebrarían
comisteis	comerían
comprendisteis	comprenderían
confiasteis	confiarían
confirmasteis	confirmarían
continuasteis	continuarían
cooperasteis	cooperarían
cuidasteis	cuidarían
dependisteis	dependerían
desarrollasteis	desarrollarían
desempeñasteis	desempeñarían
destacasteis	destacarían
determinasteis	determinarían
escuchasteis	escucharían
evaluasteis	evaluarían
expresasteis	expresarían
fomentasteis	fomentarían
formulasteis	formularían
gastasteis	gastarían
hablasteis	hablarían
implicasteis	implicarían
integrasteis	integrarían
intentasteis	intentarían
involucrasteis	involucrarían
jugasteis	jugarían
observasteis	observarían
ocurristeis	ocurrirían
ofrecisteis	ofrecerían
operasteis	operarían
preservasteis	preservarían
promovisteis	promoverían
proporcionasteis	proporcionarían
proveísteis	proveerían
quedasteis	quedarían
recordasteis	recordarían
requeristeis	requerirían
revisasteis	revisarían
rompisteis	romperían
salvasteis	salvarían
satisficisteis	satisfarían
seguisteis	seguirían
visteis	verían
viajasteis	viajarían
