aceleramos	aceleraréis
aplicamos	aplicaréis
asumimos	asumiréis
añadimos	añadiréis
cambiamos	cambiaréis
comimos	comeréis
consistimos	consistiréis
convertimos	convertiréis
cortamos	cortaréis
crecimos	creceréis
creímos	creeréis
cubrimos	cubriréis
cumplimos	cumpliréis
dimos	daréis
desempeñamos	desempeñaréis
designamos	designaréis
dirigimos	dirigiréis
empezamos	empezaréis
entramos	entraréis
escribimos	escribiréis
existimos	existiréis
expresamos	expresaréis
firmamos	firmaréis
funcionamos	funcionaréis
hicimos	haréis
investigamos	investigaréis
jugamos	jugaréis
limpiamos	limpiaréis
llamamos	llamaréis
matamos	mataréis
miramos	miraréis
olvidamos	olvidaréis
perdimos	perderéis
permitimos	permitiréis
previnimos	prevendréis
probamos	probaréis
promocionamos	promocionaréis
proporcionamos	proporcionaréis
reconocimos	reconoceréis
reemplazamos	reemplazaréis
referimos	referiréis
revisamos	revisaréis
supimos	sabréis
fuimos	seréis
solicitamos	solicitaréis
sumamos	sumaréis
superamos	superaréis
vivimos	viviréis
volamos	volaréis
votamos	votaréis
