accedía	accederíais
administraba	administraríais
anunciaba	anunciaríais
asistía	asistiríais
añadía	añadiríais
caía	caeríais
comenzaba	comenzaríais
conducía	conduciríais
confirmaba	confirmaríais
continuaba	continuaríais
coordinaba	coordinaríais
corría	correríais
crecía	creceríais
cumplía	cumpliríais
destacaba	destacaríais
destruía	destruiríais
detenía	detendríais
determinaba	determinaríais
disfrutaba	disfrutaríais
eliminaba	eliminaríais
encontraba	encontraríais
formulaba	formularíais
garantizaba	garantizaríais
generaba	generaríais
hacía	haríais
incluía	incluiríais
informaba	informaríais
localizaba	localizaríais
mantenía	mantendríais
mejoraba	mejoraríais
mencionaba	mencionaríais
moría	moriríais
organizaba	organizaríais
pagaba	pagaríais
parecía	pareceríais
pasaba	pasaríais
preguntaba	preguntaríais
preservaba	preservaríais
prevenía	prevendríais
promovía	promoveríais
proporcionaba	proporcionaríais
reducía	reduciríais
regresaba	regresaríais
señalaba	señalaríais
supervisaba	supervisaríais
tenía	tendríais
traía	traeríais
utilizaba	utilizaríais
volaba	volaríais
votaba	votaríais
