accedieron	accederías
analizaron	analizarías
aprendieron	aprenderías
comieron	comerías
compraron	comprarías
comprendieron	comprenderías
comprobaron	comprobarías
condujeron	conducirías
consolidaron	consolidarías
cortaron	cortarías
crearon	crearías
creyeron	creerías
cuidaron	cuidarías
dejaron	dejarías
demostraron	demostrarías
describieron	describirías
destacaron	destacarías
determinaron	determinarías
durmieron	dormirías
ejercieron	ejercerías
entraron	entrarías
escaparon	escaparías
fomentaron	fomentarías
formularon	formularías
guardaron	guardarías
hubieron	habrías
implicaron	implicarías
instalaron	instalarías
intentaron	intentarías
introdujeron	introducirías
jugaron	jugarías
limpiaron	limpiarías
llamaron	llamarías
mencionaron	mencionarías
olvidaron	olvidarías
parecieron	parecerías
participaron	participarías
partieron	partirías
pidieron	pedirías
permanecieron	permanecerías
propusieron	propondrías
protegieron	protegerías
soportaron	soportarías
superaron	superarías
trabajaron	trabajarías
vinieron	vendrías
viajaron	viajarías
vivieron	vivirías
volvieron	volverías
votaron	votarías
