abrir	abriendo
actuar	actuando
adoptar	adoptando
adquirir	adquiriendo
anunciar	anunciando
aplicar	aplicando
aprender	aprendiendo
bailar	bailando
caminar	caminando
comprender	comprendiendo
concluir	concluyendo
considerar	considerando
continuar	continuando
cortar	cortando
crecer	creciendo
cubrir	cubriendo
defender	defendiendo
dejar	dejando
descargar	descargando
determinar	determinando
discutir	discutiendo
dormir	durmiendo
ejecutar	ejecutando
elaborar	elaborando
escribir	escribiendo
evadir	evadiendo
existir	existiendo
explorar	explorando
fortalecer	fortaleciendo
gastar	gastando
integrar	integrando
llevar	llevando
llorar	llorando
mejorar	mejorando
obtener	obteniendo
ocurrir	ocurriendo
presentar	presentando
preservar	preservando
probar	probando
proteger	protegiendo
realizar	realizando
reconocer	reconociendo
recuperar	recuperando
satisfacer	satisfaciendo
sobrevivir	sobreviviendo
soportar	soportando
utilizar	utilizando
ver	viendo
viajar	viajando
votar	votando
