abordé	abordarían
adquirí	adquirirían
atraje	atraerían
aumenté	aumentarían
ayudé	ayudarían
bailé	bailarían
busqué	buscarían
combatí	combatirían
comencé	comenzarían
completé	completarían
comprendí	comprenderían
confié	confiarían
conté	contarían
controlé	controlarían
convertí	convertirían
coordiné	coordinarían
corrí	correrían
cuidé	cuidarían
decidí	decidirían
dije	dirían
descubrí	descubrirían
destruí	destruirían
determiné	determinarían
dormí	dormirían
elaboré	elaborarían
entendí	entenderían
escuché	escucharían
estudié	estudiarían
guardé	guardarían
investigué	investigarían
fui	irían
lloré	llorarían
manejé	manejarían
mostré	mostrarían
moví	moverían
organicé	organizarían
perdí	perderían
pude	podrían
promoví	promoverían
recordé	recordarían
reforcé	reforzarían
regresé	regresarían
representé	representarían
robé	robarían
sentí	sentirían
señalé	señalarían
traté	tratarían
utilicé	utilizarían
viví	vivirían
volé	volarían
