abríamos	abrió
adoptábamos	adoptó
agradecíamos	agradeció
aprobábamos	aprobó
asistíamos	asistió
atraíamos	atrajo
avanzábamos	avanzó
bebíamos	bebió
buscábamos	buscó
causábamos	causó
comíamos	comió
concluíamos	concluyó
conducíamos	condujo
conocíamos	conoció
construíamos	construyó
convertíamos	convirtió
corríamos	corrió
cuidábamos	cuidó
descargábamos	descargó
descubríamos	descubrió
dormíamos	durmió
ejercíamos	ejerció
entrábamos	entró
esperábamos	esperó
evadíamos	evadió
evitábamos	evitó
examinábamos	examinó
existíamos	existió
formábamos	formó
funcionábamos	funcionó
impedíamos	impidió
implicábamos	implicó
informábamos	informó
iniciábamos	inició
jugábamos	jugó
llegábamos	llegó
localizábamos	localizó
modificábamos	modificó
movíamos	movió
ocurríamos	ocurrió
olvidábamos	olvidó
organizábamos	organizó
partíamos	partió
poníamos	puso
proporcionábamos	proporcionó
reforzábamos	reforzó
sentábamos	sentó
éramos	fue
sugeríamos	sugirió
terminábamos	terminó
