adoptabas	adoptaba
adquirías	adquiría
atraías	atraía
caminabas	caminaba
cantabas	cantaba
comenzabas	comenzaba
conservabas	conservaba
contribuías	contribuía
cooperabas	cooperaba
coordinabas	coordinaba
corrías	corría
creabas	creaba
dabas	daba
descargabas	descargaba
eliminabas	eliminaba
empezabas	empezaba
escribías	escribía
escuchabas	escuchaba
esperabas	esperaba
existías	existía
facilitabas	facilitaba
funcionabas	funcionaba
ganabas	ganaba
gastabas	gastaba
gestionabas	gestionaba
hablabas	hablaba
imaginabas	imaginaba
incrementabas	incrementaba
informabas	informaba
iniciabas	iniciaba
involucrabas	involucraba
llorabas	lloraba
lograbas	lograba
mantenías	mantenía
mejorabas	mejoraba
oías	oía
parabas	paraba
pensabas	pensaba
ponías	ponía
proporcionabas	proporcionaba
publicabas	publicaba
quedabas	quedaba
reforzabas	reforzaba
representabas	representaba
robabas	robaba
sabías	sabía
sentabas	sentaba
viajabas	viajaba
vivías	vivía
volvías	volvía
