aceleramos	acelerarían
aceptamos	aceptarían
agradecemos	agradecerían
alcanzamos	alcanzarían
alentamos	alentarían
ayudamos	ayudarían
causamos	causarían
combatimos	combatirían
compramos	comprarían
comprobamos	comprobarían
conseguimos	conseguirían
consolidamos	consolidarían
convertimos	convertirían
corremos	correrían
decidimos	decidirían
desarrollamos	desarrollarían
ejercemos	ejercerían
empezamos	empezarían
encontramos	encontrarían
enfrentamos	enfrentarían
esperamos	esperarían
examinamos	examinarían
formamos	formarían
generamos	generarían
habilitamos	habilitarían
imponemos	impondrían
incrementamos	incrementarían
intentamos	intentarían
involucramos	involucrarían
jugamos	jugarían
llevamos	llevarían
modificamos	modificarían
mostramos	mostrarían
oímos	oirían
pasamos	pasarían
preparamos	prepararían
proponemos	propondrían
proveemos	proveerían
reducimos	reducirían
relacionamos	relacionarían
respetamos	respetarían
revisamos	revisarían
rompemos	romperían
sacamos	sacarían
seleccionamos	seleccionarían
sumamos	sumarían
vendemos	venderían
verificamos	verificarían
visitamos	visitarían
votamos	votarían
