abro	abrís
adopto	adoptáis
analizo	analizáis
apruebo	aprobáis
atraigo	atraéis
aumento	aumentáis
cambio	cambiáis
combato	combatís
conduzco	conducís
confío	confiáis
considero	consideráis
creo	creáis
decido	decidís
defino	definís
dependo	dependéis
elaboro	elaboráis
escribo	escribís
espero	esperáis
estudio	estudiáis
examino	examináis
fallo	falláis
fomento	fomentáis
gano	ganáis
habilito	habilitáis
hago	hacéis
imagino	imagináis
impido	impedís
integro	integráis
invierto	invertís
voy	vais
limpio	limpiáis
llamo	llamáis
logro	lográis
lucho	lucháis
participo	participáis
parto	partís
preparo	preparáis
pruebo	probáis
reduzco	reducís
relaciono	relacionáis
salgo	salís
salvo	salváis
soy	sois
sobrevivo	sobrevivís
soporto	soportáis
sugiero	sugerís
sumo	sumáis
superviso	supervisáis
uno	unís
utilizo	utilizáis
