abriste	abriría
aceptaste	aceptaría
asististe	asistiría
atendiste	atendería
aumentaste	aumentaría
buscaste	buscaría
comiste	comería
conservaste	conservaría
consultaste	consultaría
contuviste	contendría
creíste	creería
demostraste	demostraría
designaste	designaría
detuviste	detendría
discutiste	discutiría
disfrutaste	disfrutaría
dormiste	dormiría
ejecutaste	ejecutaría
empezaste	empezaría
enseñaste	enseñaría
escapaste	escaparía
exististe	existiría
fallaste	fallaría
formulaste	formularía
ganaste	ganaría
garantizaste	garantizaría
gastaste	gastaría
habilitaste	habilitaría
identificaste	identificaría
impediste	impediría
incorporaste	incorporaría
intentaste	intentaría
lloraste	lloraría
lograste	lograría
manejaste	manejaría
modificaste	modificaría
mostraste	mostraría
pagaste	pagaría
participaste	participaría
pasaste	pasaría
permaneciste	permanecería
permitiste	permitiría
preguntaste	preguntaría
realizaste	realizaría
respondiste	respondería
seleccionaste	seleccionaría
supervisaste	supervisaría
tomaste	tomaría
trataste	trataría
vendiste	vendería
