abandonabas	abandonaba
abrías	abría
acelerabas	aceleraba
aceptabas	aceptaba
acordabas	acordaba
alentabas	alentaba
ampliabas	ampliaba
analizabas	analizaba
asumías	asumía
aumentabas	aumentaba
comprabas	compraba
comprendías	comprendía
concluías	concluía
construías	construía
consultabas	consultaba
corrías	corría
cubrías	cubría
decidías	decidía
discutías	discutía
disfrutabas	disfrutaba
elegías	elegía
entrabas	entraba
enviabas	enviaba
escapabas	escapaba
evadías	evadía
financiabas	financiaba
funcionabas	funcionaba
guardabas	guardaba
identificabas	identificaba
incrementabas	incrementaba
investigabas	investigaba
involucrabas	involucraba
localizabas	localizaba
mejorabas	mejoraba
observabas	observaba
parabas	paraba
preservabas	preservaba
prevenías	prevenía
probabas	probaba
proveías	proveía
reducías	reducía
respondías	respondía
rompías	rompía
sabías	sabía
satisfacías	satisfacía
sentabas	sentaba
solicitabas	solicitaba
terminabas	terminaba
tratabas	trataba
unías	unía
