administrabas	administraríamos
adoptabas	adoptaríamos
adquirías	adquiriríamos
alentabas	alentaríamos
apoyabas	apoyaríamos
aumentabas	aumentaríamos
avanzabas	avanzaríamos
averiguabas	averiguaríamos
ayudabas	ayudaríamos
bebías	beberíamos
comías	comeríamos
concluías	concluiríamos
continuabas	continuaríamos
contribuías	contribuiríamos
controlabas	controlaríamos
creabas	crearíamos
creías	creeríamos
descargabas	descargaríamos
designabas	designaríamos
destacabas	destacaríamos
dirigías	dirigiríamos
empezabas	empezaríamos
funcionabas	funcionaríamos
gastabas	gastaríamos
gestionabas	gestionaríamos
hacías	haríamos
ibas	iríamos
llorabas	lloraríamos
luchabas	lucharíamos
mantenías	mantendríamos
morías	moriríamos
mostrabas	mostraríamos
olvidabas	olvidaríamos
pagabas	pagaríamos
pedías	pediríamos
preguntabas	preguntaríamos
prevenías	prevendríamos
proveías	proveeríamos
quedabas	quedaríamos
referías	referiríamos
resolvías	resolveríamos
sentabas	sentaríamos
sentías	sentiríamos
eras	seríamos
soportabas	soportaríamos
supervisabas	supervisaríamos
tocabas	tocaríamos
trabajabas	trabajaríamos
unías	uniríamos
visitabas	visitaríamos
