abría	abrió
alentaba	alentó
ampliaba	amplió
anunciaba	anunció
aprendía	aprendió
bailaba	bailó
completaba	completó
concluía	concluyó
conducía	condujo
consolidaba	consolidó
continuaba	continuó
cortaba	cortó
defendía	defendió
definía	definió
desarrollaba	desarrolló
designaba	designó
detenía	detuvo
entraba	entró
escapaba	escapó
examinaba	examinó
facilitaba	facilitó
fallaba	falló
firmaba	firmó
incorporaba	incorporó
incrementaba	incrementó
informaba	informó
integraba	integró
introducía	introdujo
invertía	invirtió
involucraba	involucró
limpiaba	limpió
localizaba	localizó
mejoraba	mejoró
mostraba	mostró
organizaba	organizó
permanecía	permaneció
preguntaba	preguntó
quedaba	quedó
realizaba	realizó
representaba	representó
resolvía	resolvió
respondía	respondió
revisaba	revisó
robaba	robó
rompía	rompió
salía	salió
supervisaba	supervisó
tocaba	tocó
veía	vio
viajaba	viajó
