abordaba	abordaremos
aceleraba	aceleraremos
alentaba	alentaremos
apoyaba	apoyaremos
ayudaba	ayudaremos
bebía	beberemos
cantaba	cantaremos
celebraba	celebraremos
conocía	conoceremos
consistía	consistiremos
consolidaba	consolidaremos
construía	construiremos
consultaba	consultaremos
cooperaba	cooperaremos
cortaba	cortaremos
cuidaba	cuidaremos
descargaba	descargaremos
detenía	detendremos
ejecutaba	ejecutaremos
escribía	escribiremos
esperaba	esperaremos
establecía	estableceremos
estaba	estaremos
financiaba	financiaremos
generaba	generaremos
guardaba	guardaremos
habilitaba	habilitaremos
identificaba	identificaremos
imaginaba	imaginaremos
llegaba	llegaremos
lloraba	lloraremos
localizaba	localizaremos
mantenía	mantendremos
moría	moriremos
necesitaba	necesitaremos
partía	partiremos
permanecía	permaneceremos
preparaba	prepararemos
probaba	probaremos
proponía	propondremos
reducía	reduciremos
refería	referiremos
resolvía	resolveremos
sentaba	sentaremos
era	seremos
sobrevivía	sobreviviremos
trataba	trataremos
unía	uniremos
vivía	viviremos
volvía	volveremos
