abordó	abordarían
abrió	abrirían
administró	administrarían
adoptó	adoptarían
analizó	analizarían
asumió	asumirían
añadió	añadirían
cayó	caerían
cerró	cerrarían
compartió	compartirían
concluyó	concluirían
confirmó	confirmarían
consiguió	conseguirían
corrió	correrían
creó	crearían
cubrió	cubrirían
discutió	discutirían
disfrutó	disfrutarían
entendió	entenderían
entró	entrarían
evadió	evadirían
evaluó	evaluarían
facilitó	facilitarían
financió	financiarían
fortaleció	fortalecerían
gastó	gastarían
generó	generarían
hubo	habrían
informó	informarían
midió	medirían
mejoró	mejorarían
movió	moverían
ofreció	ofrecerían
pagó	pagarían
paró	pararían
pensó	pensarían
promovió	promoverían
proveyó	proveerían
realizó	realizarían
recuperó	recuperarían
relacionó	relacionarían
requirió	requerirían
robó	robarían
salvó	salvarían
satisfizo	satisfarían
solicitó	solicitarían
supervisó	supervisarían
trajo	traerían
viajó	viajarían
votó	votarían
