abrías	abrí
acordabas	acordé
agradecías	agradecí
alcanzabas	alcancé
analizabas	analicé
aparecías	aparecí
asistías	asistí
atendías	atendí
bailabas	bailé
caminabas	caminé
causabas	causé
creías	creí
destruías	destruí
determinabas	determiné
disfrutabas	disfruté
elaborabas	elaboré
encontrabas	encontré
escapabas	escapé
examinabas	examiné
fallabas	fallé
gastabas	gasté
generabas	generé
habías	hube
imaginabas	imaginé
informabas	informé
invertías	invertí
ibas	fui
jugabas	jugué
limitabas	limité
manejabas	manejé
matabas	maté
mencionabas	mencioné
mirabas	miré
ofrecías	ofrecí
organizabas	organicé
parabas	paré
podías	pude
presentabas	presenté
prevenías	previne
probabas	probé
quedabas	quedé
realizabas	realicé
recogías	recogí
recordabas	recordé
relacionabas	relacioné
requerías	requerí
sugerías	sugerí
tenías	tuve
tratabas	traté
viajabas	viajé
