accediste	accederá
acordaste	acordará
ampliaste	ampliará
apareciste	aparecerá
aprovechaste	aprovechará
bailaste	bailará
causaste	causará
completaste	completará
condujiste	conducirá
controlaste	controlará
coordinaste	coordinará
creciste	crecerá
creíste	creerá
diste	dará
dijiste	dirá
definiste	definirá
descargaste	descargará
descubriste	descubrirá
designaste	designará
dormiste	dormirá
empezaste	empezará
entraste	entrará
escuchaste	escuchará
esperaste	esperará
estuviste	estará
fomentaste	fomentará
formaste	formará
generaste	generará
hablaste	hablará
imaginaste	imaginará
intentaste	intentará
jugaste	jugará
lloraste	llorará
observaste	observará
obtuviste	obtendrá
pudiste	podrá
preparaste	preparará
presentaste	presentará
prestaste	prestará
propusiste	propondrá
proporcionaste	proporcionará
quedaste	quedará
rompiste	romperá
serviste	servirá
terminaste	terminará
trabajaste	trabajará
utilizaste	utilizará
viniste	vendrá
verificaste	verificará
volviste	volverá
