aceleraréis	aceleraríamos
aceptaréis	aceptaríamos
anunciaréis	anunciaríamos
aseguraréis	aseguraríamos
asumiréis	asumiríamos
ayudaréis	ayudaríamos
comeréis	comeríamos
completaréis	completaríamos
confiaréis	confiaríamos
conservaréis	conservaríamos
consolidaréis	consolidaríamos
desarrollaréis	desarrollaríamos
designaréis	designaríamos
detendréis	detendríamos
dirigiréis	dirigiríamos
enfrentaréis	enfrentaríamos
enseñaréis	enseñaríamos
entraréis	entraríamos
escaparéis	escaparíamos
expresaréis	expresaríamos
formaréis	formaríamos
funcionaréis	funcionaríamos
generaréis	generaríamos
impondréis	impondríamos
invertiréis	invertiríamos
jugaréis	jugaríamos
lucharéis	lucharíamos
moriréis	moriríamos
organizaréis	organizaríamos
pararéis	pararíamos
participaréis	participaríamos
pasaréis	pasaríamos
permaneceréis	permaneceríamos
preservaréis	preservaríamos
prevendréis	prevendríamos
produciréis	produciríamos
protegeréis	protegeríamos
quedaréis	quedaríamos
recibiréis	recibiríamos
reconoceréis	reconoceríamos
recuperaréis	recuperaríamos
robaréis	robaríamos
romperéis	romperíamos
sabréis	sabríamos
sentaréis	sentaríamos
seréis	seríamos
sobreviviréis	sobreviviríamos
soportaréis	soportaríamos
superaréis	superaríamos
terminaréis	terminaríamos
