aceptó	aceptasteis
actuó	actuasteis
analizó	analizasteis
aplicó	aplicasteis
avanzó	avanzasteis
averiguó	averiguasteis
ayudó	ayudasteis
bailó	bailasteis
cambió	cambiasteis
celebró	celebrasteis
comió	comisteis
convirtió	convertisteis
corrió	corristeis
cumplió	cumplisteis
dijo	dijisteis
descubrió	descubristeis
dirigió	dirigisteis
ejerció	ejercisteis
elaboró	elaborasteis
entendió	entendisteis
escuchó	escuchasteis
evadió	evadisteis
exploró	explorasteis
financió	financiasteis
firmó	firmasteis
fortaleció	fortalecisteis
habilitó	habilitasteis
impidió	impedisteis
informó	informasteis
instaló	instalasteis
fue	fuisteis
limpió	limpiasteis
mató	matasteis
mejoró	mejorasteis
observó	observasteis
pareció	parecisteis
participó	participasteis
pensó	pensasteis
probó	probasteis
recuperó	recuperasteis
requirió	requeristeis
salió	salisteis
siguió	seguisteis
sentó	sentasteis
sufrió	sufristeis
tocó	tocasteis
trajo	trajisteis
vino	vinisteis
verificó	verificasteis
vivió	vivisteis
