abandonaste	abandonarás
abordaste	abordarás
aceleraste	acelerarás
analizaste	analizarás
animaste	animarás
aprovechaste	aprovecharás
aseguraste	asegurarás
bebiste	beberás
cambiaste	cambiarás
caminaste	caminarás
casaste	casarás
combatiste	combatirás
confiaste	confiarás
conociste	conocerás
consolidaste	consolidarás
construiste	construirás
consultaste	consultarás
creíste	creerás
diste	darás
dejaste	dejarás
elegiste	elegirás
empezaste	empezarás
formulaste	formularás
gestionaste	gestionarás
guardaste	guardarás
informaste	informarás
instalaste	instalarás
introdujiste	introducirás
jugaste	jugarás
limitaste	limitarás
llevaste	llevarás
luchaste	lucharás
observaste	observarás
obtuviste	obtendrás
pareciste	parecerás
protegiste	protegerás
publicaste	publicarás
recibiste	recibirás
recogiste	recogerás
recordaste	recordarás
recuperaste	recuperarás
revisaste	revisarás
sentaste	sentarás
sentiste	sentirás
fuiste	serás
sufriste	sufrirás
trabajaste	trabajarás
utilizaste	utilizarás
vendiste	venderás
viste	verás
