abro	abría
aparezco	aparecía
aplico	aplicaba
averiguo	averiguaba
caso	casaba
concluyo	concluía
consolido	consolidaba
construyo	construía
contengo	contenía
contribuyo	contribuía
convierto	convertía
creo	creaba
cubro	cubría
decido	decidía
digo	decía
dejo	dejaba
dependo	dependía
desempeño	desempeñaba
destaco	destacaba
ejecuto	ejecutaba
evado	evadía
evito	evitaba
exploro	exploraba
fallo	fallaba
fomento	fomentaba
hago	hacía
impongo	imponía
introduzco	introducía
investigo	investigaba
involucro	involucraba
localizo	localizaba
logro	lograba
mejoro	mejoraba
muestro	mostraba
muevo	movía
oigo	oía
pierdo	perdía
puedo	podía
produzco	producía
propongo	proponía
proporciono	proporcionaba
recojo	recogía
recupero	recuperaba
respeto	respetaba
satisfago	satisfacía
siento	sentía
soy	era
sobrevivo	sobrevivía
vendo	vendía
vuelvo	volvía
