acordaba	acordarás
alcanzaba	alcanzarás
alentaba	alentarás
analizaba	analizarás
animaba	animarás
avanzaba	avanzarás
cambiaba	cambiarás
caminaba	caminarás
conservaba	conservarás
consideraba	considerarás
contaba	contarás
convertía	convertirás
corría	correrás
creaba	crearás
cubría	cubrirás
demostraba	demostrarás
describía	describirás
dirigía	dirigirás
discutía	discutirás
evitaba	evitarás
facilitaba	facilitarás
funcionaba	funcionarás
guardaba	guardarás
habilitaba	habilitarás
introducía	introducirás
investigaba	investigarás
leía	leerás
llamaba	llamarás
mostraba	mostrarás
obtenía	obtendrás
ofrecía	ofrecerás
organizaba	organizarás
pedía	pedirás
podía	podrás
preguntaba	preguntarás
preparaba	prepararás
producía	producirás
promocionaba	promocionarás
proponía	propondrás
reducía	reducirás
relacionaba	relacionarás
requería	requerirás
respetaba	respetarás
salía	saldrás
satisfacía	satisfarás
sugería	sugerirás
terminaba	terminarás
unía	unirás
venía	vendrás
vivía	vivirás
