aborda	abordaría
adopta	adoptaría
casa	casaría
confía	confiaría
convierte	convertiría
coopera	cooperaría
corta	cortaría
cumple	cumpliría
deja	dejaría
depende	dependería
desarrolla	desarrollaría
elige	elegiría
empieza	empezaría
enseña	enseñaría
escucha	escucharía
está	estaría
estudia	estudiaría
evalúa	evaluaría
evita	evitaría
examina	examinaría
explora	exploraría
expresa	expresaría
falla	fallaría
formula	formularía
fortalece	fortalecería
gasta	gastaría
impone	impondría
va	iría
mantiene	mantendría
ofrece	ofrecería
pone	pondría
prepara	prepararía
previene	prevendría
recoge	recogería
representa	representaría
responde	respondería
sale	saldría
selecciona	seleccionaría
es	sería
soporta	soportaría
tiene	tendría
trae	traería
usa	usaría
utiliza	utilizaría
viene	vendría
ve	vería
verifica	verificaría
vuela	volaría
vuelve	volvería
vota	votaría
