aceptó	aceptarás
analizó	analizarás
animó	animarás
bebió	beberás
caminó	caminarás
compartió	compartirás
confió	confiarás
consolidó	consolidarás
cooperó	cooperarás
coordinó	coordinarás
cumplió	cumplirás
decidió	decidirás
desarrolló	desarrollarás
descargó	descargarás
describió	describirás
eligió	elegirás
enfrentó	enfrentarás
escuchó	escucharás
esperó	esperarás
facilitó	facilitarás
financió	financiarás
fomentó	fomentarás
ganó	ganarás
generó	generarás
hizo	harás
llamó	llamarás
llegó	llegarás
lloró	llorarás
manejó	manejarás
mejoró	mejorarás
murió	morirás
mostró	mostrarás
ofreció	ofrecerás
operó	operarás
pensó	pensarás
permaneció	permanecerás
puso	pondrás
prestó	prestarás
promovió	promoverás
proporcionó	proporcionarás
publicó	publicarás
quedó	quedarás
regresó	regresarás
revisó	revisarás
sacó	sacarás
sintió	sentirás
fue	serás
tuvo	tendrás
trajo	traerás
usó	usarás
