abandonabais	abandonarían
acelerabais	acelerarían
aparecíais	aparecerían
asistíais	asistirían
avanzabais	avanzarían
caminabais	caminarían
casabais	casarían
comíais	comerían
comprendíais	comprenderían
conducíais	conducirían
confirmabais	confirmarían
coordinabais	coordinarían
creabais	crearían
cuidabais	cuidarían
decíais	dirían
demostrabais	demostrarían
dependíais	dependerían
describíais	describirían
desempeñabais	desempeñarían
destruíais	destruirían
dormíais	dormirían
escribíais	escribirían
facilitabais	facilitarían
financiabais	financiarían
habíais	habrían
imaginabais	imaginarían
implicabais	implicarían
indicabais	indicarían
iniciabais	iniciarían
invertíais	invertirían
investigabais	investigarían
ibais	irían
lograbais	lograrían
manejabais	manejarían
manteníais	mantendrían
matabais	matarían
ocurríais	ocurrirían
oíais	oirían
parecíais	parecerían
permitíais	permitirían
preveníais	prevendrían
proporcionabais	proporcionarían
protegíais	protegerían
publicabais	publicarían
referíais	referirían
requeríais	requerirían
salíais	saldrían
terminabais	terminarían
usabais	usarían
utilizabais	utilizarían
