actuaría	actuaríamos
alentaría	alentaríamos
analizaría	analizaríamos
aparecería	apareceríamos
aprendería	aprenderíamos
asumiría	asumiríamos
avanzaría	avanzaríamos
cambiaría	cambiaríamos
casaría	casaríamos
conduciría	conduciríamos
conseguiría	conseguiríamos
controlaría	controlaríamos
correría	correríamos
cumpliría	cumpliríamos
demostraría	demostraríamos
dependería	dependeríamos
desarrollaría	desarrollaríamos
ejecutaría	ejecutaríamos
ejercería	ejerceríamos
eliminaría	eliminaríamos
esperaría	esperaríamos
evaluaría	evaluaríamos
explicaría	explicaríamos
firmaría	firmaríamos
formaría	formaríamos
formularía	formularíamos
gastaría	gastaríamos
habría	habríamos
identificaría	identificaríamos
impediría	impediríamos
instalaría	instalaríamos
involucraría	involucraríamos
iría	iríamos
llegaría	llegaríamos
localizaría	localizaríamos
modificaría	modificaríamos
movería	moveríamos
ofrecería	ofreceríamos
olvidaría	olvidaríamos
operaría	operaríamos
permitiría	permitiríamos
podría	podríamos
propondría	propondríamos
protegería	protegeríamos
resolvería	resolveríamos
respetaría	respetaríamos
sabría	sabríamos
sufriría	sufriríamos
sugeriría	sugeriríamos
vendría	vendríamos
