abandonáis	abandonaba
actuáis	actuaba
adquirís	adquiría
alentáis	alentaba
analizáis	analizaba
animáis	animaba
apoyáis	apoyaba
aseguráis	aseguraba
averiguáis	averiguaba
camináis	caminaba
casáis	casaba
combatís	combatía
comenzáis	comenzaba
compartís	compartía
completáis	completaba
confiáis	confiaba
controláis	controlaba
cooperáis	cooperaba
cumplís	cumplía
definís	definía
dependéis	dependía
enseñáis	enseñaba
exploráis	exploraba
expresáis	expresaba
firmáis	firmaba
formuláis	formulaba
fortalecéis	fortalecía
gestionáis	gestionaba
impedís	impedía
incluís	incluía
llamáis	llamaba
lloráis	lloraba
manejáis	manejaba
mencionáis	mencionaba
movéis	movía
operáis	operaba
participáis	participaba
ponéis	ponía
preparáis	preparaba
promocionáis	promocionaba
regresáis	regresaba
respondéis	respondía
robáis	robaba
sentís	sentía
sois	era
sobrevivís	sobrevivía
supervisáis	supervisaba
traéis	traía
usáis	usaba
volvéis	volvía
