abordabas	abordaría
acordabas	acordaría
actuabas	actuaría
aparecías	aparecería
atendías	atendería
avanzabas	avanzaría
bailabas	bailaría
bebías	bebería
cerrabas	cerraría
concluías	concluiría
confirmabas	confirmaría
convertías	convertiría
cooperabas	cooperaría
cuidabas	cuidaría
cumplías	cumpliría
definías	definiría
descargabas	descargaría
descubrías	descubriría
elaborabas	elaboraría
eliminabas	eliminaría
encontrabas	encontraría
entrabas	entraría
evitabas	evitaría
fortalecías	fortalecería
guardabas	guardaría
imaginabas	imaginaría
incorporabas	incorporaría
invertías	invertiría
llegabas	llegaría
manejabas	manejaría
medías	mediría
mejorabas	mejoraría
mirabas	miraría
participabas	participaría
prevenías	prevendría
promovías	promovería
realizabas	realizaría
recibías	recibiría
recogías	recogería
recordabas	recordaría
reforzabas	reforzaría
sacabas	sacaría
salías	saldría
seguías	seguiría
señalabas	señalaría
solicitabas	solicitaría
sumabas	sumaría
supervisabas	supervisaría
veías	vería
votabas	votaría
