accedías	accedisteis
acelerabas	acelerasteis
adoptabas	adoptasteis
aparecías	aparecisteis
aprendías	aprendisteis
asistías	asististeis
completabas	completasteis
continuabas	continuasteis
controlabas	controlasteis
convertías	convertisteis
cooperabas	cooperasteis
creabas	creasteis
decidías	decidisteis
defendías	defendisteis
dependías	dependisteis
descargabas	descargasteis
destruías	destruisteis
esperabas	esperasteis
establecías	establecisteis
evadías	evadisteis
explicabas	explicasteis
explorabas	explorasteis
expresabas	expresasteis
firmabas	firmasteis
hablabas	hablasteis
identificabas	identificasteis
introducías	introdujisteis
mirabas	mirasteis
modificabas	modificasteis
morías	moristeis
obtenías	obtuvisteis
perdías	perdisteis
presentabas	presentasteis
prevenías	previnisteis
promovías	promovisteis
proponías	propusisteis
protegías	protegisteis
publicabas	publicasteis
reemplazabas	reemplazasteis
representabas	representasteis
requerías	requeristeis
respondías	respondisteis
robabas	robasteis
sabías	supisteis
seleccionabas	seleccionasteis
señalabas	señalasteis
supervisabas	supervisasteis
terminabas	terminasteis
tratabas	tratasteis
vivías	vivisteis
