accedías	accedería
aceptabas	aceptaría
acordabas	acordaría
actuabas	actuaría
animabas	animaría
bebías	bebería
cambiabas	cambiaría
cantabas	cantaría
casabas	casaría
cerrabas	cerraría
comprendías	comprendería
conducías	conduciría
considerabas	consideraría
contenías	contendría
continuabas	continuaría
cooperabas	cooperaría
dabas	daría
decidías	decidiría
definías	definiría
designabas	designaría
enfrentabas	enfrentaría
estudiabas	estudiaría
existías	existiría
explicabas	explicaría
firmabas	firmaría
funcionabas	funcionaría
impedías	impediría
informabas	informaría
invertías	invertiría
ibas	iría
modificabas	modificaría
necesitabas	necesitaría
obtenías	obtendría
ofrecías	ofrecería
olvidabas	olvidaría
operabas	operaría
podías	podría
ponías	pondría
quedabas	quedaría
recogías	recogería
requerías	requeriría
robabas	robaría
salías	saldría
sentías	sentiría
eras	sería
sumabas	sumaría
tocabas	tocaría
traías	traería
viajabas	viajaría
visitabas	visitaría
