abandonabais	abandonarías
acordabais	acordarías
adquiríais	adquirirías
aumentabais	aumentarías
averiguabais	averiguarías
bebíais	beberías
caíais	caerías
cambiabais	cambiarías
caminabais	caminarías
casabais	casarías
comíais	comerías
comprendíais	comprenderías
confiabais	confiarías
construíais	construirías
cooperabais	cooperarías
cortabais	cortarías
crecíais	crecerías
cumplíais	cumplirías
definíais	definirías
desarrollabais	desarrollarías
designabais	designarías
destruíais	destruirías
dormíais	dormirías
elaborabais	elaborarías
elegíais	elegirías
evadíais	evadirías
expresabais	expresarías
formabais	formarías
fortalecíais	fortalecerías
ganabais	ganarías
gestionabais	gestionarías
implicabais	implicarías
invertíais	invertirías
investigabais	investigarías
llamabais	llamarías
llegabais	llegarías
medíais	medirías
moríais	morirías
observabais	observarías
ofrecíais	ofrecerías
perdíais	perderías
permitíais	permitirías
podíais	podrías
preparabais	prepararías
preveníais	prevendrías
producíais	producirías
recibíais	recibirías
solicitabais	solicitarías
sumabais	sumarías
veníais	vendrías
