administrasteis	administrarían
alentasteis	alentarían
animasteis	animarían
aprendisteis	aprenderían
averiguasteis	averiguarían
caminasteis	caminarían
cantasteis	cantarían
confirmasteis	confirmarían
conocisteis	conocerían
conseguisteis	conseguirían
cuidasteis	cuidarían
definisteis	definirían
demostrasteis	demostrarían
describisteis	describirían
destacasteis	destacarían
destruisteis	destruirían
disfrutasteis	disfrutarían
ejecutasteis	ejecutarían
enseñasteis	enseñarían
enviasteis	enviarían
escuchasteis	escucharían
estudiasteis	estudiarían
fallasteis	fallarían
hubisteis	habrían
habilitasteis	habilitarían
identificasteis	identificarían
iniciasteis	iniciarían
introdujisteis	introducirían
invertisteis	invertirían
moristeis	morirían
movisteis	moverían
olvidasteis	olvidarían
operasteis	operarían
pedisteis	pedirían
pudisteis	podrían
preparasteis	prepararían
protegisteis	protegerían
quedasteis	quedarían
regresasteis	regresarían
representasteis	representarían
resolvisteis	resolverían
satisficisteis	satisfarían
seguisteis	seguirían
sentasteis	sentarían
solicitasteis	solicitarían
trabajasteis	trabajarían
trajisteis	traerían
usasteis	usarían
utilizasteis	utilizarían
votasteis	votarían
