adquirías	adquiriré
aprovechabas	aprovecharé
asistías	asistiré
atendías	atenderé
atraías	atraeré
caminabas	caminaré
celebrabas	celebraré
comías	comeré
concluías	concluiré
confirmabas	confirmaré
cooperabas	cooperaré
crecías	creceré
cuidabas	cuidaré
demostrabas	demostraré
desarrollabas	desarrollaré
descubrías	descubriré
destruías	destruiré
detenías	detendré
enviabas	enviaré
estabas	estaré
evitabas	evitaré
examinabas	examinaré
existías	existiré
firmabas	firmaré
funcionabas	funcionaré
habías	habré
habilitabas	habilitaré
identificabas	identificaré
imaginabas	imaginaré
integrabas	integraré
investigabas	investigaré
ibas	iré
limitabas	limitaré
mencionabas	mencionaré
mostrabas	mostraré
organizabas	organizaré
participabas	participaré
pedías	pediré
preguntabas	preguntaré
prevenías	prevendré
promocionabas	promocionaré
publicabas	publicaré
quedabas	quedaré
realizabas	realizaré
señalabas	señalaré
sufrías	sufriré
venías	vendré
veías	veré
viajabas	viajaré
volvías	volveré
