abrías	abrieron
atendías	atendieron
buscabas	buscaron
comenzabas	comenzaron
comprabas	compraron
comprobabas	comprobaron
concluías	concluyeron
conocías	conocieron
construías	construyeron
contenías	contuvieron
continuabas	continuaron
creías	creyeron
cuidabas	cuidaron
desarrollabas	desarrollaron
descargabas	descargaron
destacabas	destacaron
detenías	detuvieron
disfrutabas	disfrutaron
ejecutabas	ejecutaron
elegías	eligieron
establecías	establecieron
garantizabas	garantizaron
habías	hubieron
instalabas	instalaron
investigabas	investigaron
involucrabas	involucraron
leías	leyeron
llamabas	llamaron
llorabas	lloraron
manejabas	manejaron
mencionabas	mencionaron
ocurrías	ocurrieron
operabas	operaron
participabas	participaron
partías	partieron
pasabas	pasaron
pedías	pidieron
podías	pudieron
prestabas	prestaron
prevenías	previnieron
recogías	recogieron
reemplazabas	reemplazaron
relacionabas	relacionaron
rompías	rompieron
servías	sirvieron
supervisabas	supervisaron
unías	unieron
vendías	vendieron
viajabas	viajaron
votabas	votaron
