abandonasteis	abandonaría
abordasteis	abordaría
acordasteis	acordaría
adoptasteis	adoptaría
agradecisteis	agradecería
aparecisteis	aparecería
aplicasteis	aplicaría
aprendisteis	aprendería
aumentasteis	aumentaría
avanzasteis	avanzaría
buscasteis	buscaría
caísteis	caería
casasteis	casaría
causasteis	causaría
conservasteis	conservaría
consolidasteis	consolidaría
contribuisteis	contribuiría
convertisteis	convertiría
cumplisteis	cumpliría
decidisteis	decidiría
enseñasteis	enseñaría
enviasteis	enviaría
explorasteis	exploraría
financiasteis	financiaría
firmasteis	firmaría
funcionasteis	funcionaría
ganasteis	ganaría
generasteis	generaría
llevasteis	llevaría
matasteis	mataría
mencionasteis	mencionaría
modificasteis	modificaría
moristeis	moriría
ocurristeis	ocurriría
parasteis	pararía
pudisteis	podría
pusisteis	pondría
probasteis	probaría
proporcionasteis	proporcionaría
proveísteis	proveería
realizasteis	realizaría
reforzasteis	reforzaría
respondisteis	respondería
salvasteis	salvaría
seguisteis	seguiría
sentisteis	sentiría
sobrevivisteis	sobreviviría
utilizasteis	utilizaría
vendisteis	vendería
volvisteis	volvería
