accedió	accedería
acordó	acordaría
analizó	analizaría
animó	animaría
apareció	aparecería
aplicó	aplicaría
cerró	cerraría
compartió	compartiría
compró	compraría
comprobó	comprobaría
confió	confiaría
confirmó	confirmaría
conoció	conocería
controló	controlaría
coordinó	coordinaría
cortó	cortaría
cuidó	cuidaría
desarrolló	desarrollaría
describió	describiría
designó	designaría
destacó	destacaría
empezó	empezaría
entró	entraría
facilitó	facilitaría
fomentó	fomentaría
garantizó	garantizaría
hizo	haría
imaginó	imaginaría
impuso	impondría
introdujo	introduciría
investigó	investigaría
fue	iría
jugó	jugaría
leyó	leería
manejó	manejaría
mejoró	mejoraría
obtuvo	obtendría
olvidó	olvidaría
paró	pararía
pareció	parecería
pudo	podría
puso	pondría
previno	prevendría
rompió	rompería
salvó	salvaría
seleccionó	seleccionaría
señaló	señalaría
tomó	tomaría
vino	vendría
verificó	verificaría
