asegura	asegurarían
asume	asumirían
cae	caerían
camina	caminarían
comparte	compartirían
completa	completarían
conserva	conservarían
construye	construirían
contiene	contendrían
continúa	continuarían
contribuye	contribuirían
coordina	coordinarían
corta	cortarían
cumple	cumplirían
da	darían
defiende	defenderían
discute	discutirían
disfruta	disfrutarían
elabora	elaborarían
elimina	eliminarían
enseña	enseñarían
entiende	entenderían
examina	examinarían
existe	existirían
facilita	facilitarían
falla	fallarían
fortalece	fortalecerían
funciona	funcionarían
garantiza	garantizarían
guarda	guardarían
habilita	habilitarían
hace	harían
impone	impondrían
invierte	invertirían
investiga	investigarían
llama	llamarían
llora	llorarían
logra	lograrían
piensa	pensarían
pierde	perderían
permanece	permanecerían
reduce	reducirían
requiere	requerirían
roba	robarían
sabe	sabrían
saca	sacarían
sigue	seguirían
señala	señalarían
supera	superarían
vota	votarían
