abandonábamos	abandonaste
accedíamos	accediste
acelerábamos	aceleraste
administrábamos	administraste
apoyábamos	apoyaste
asegurábamos	aseguraste
bebíamos	bebiste
combatíamos	combatiste
conocíamos	conociste
conservábamos	conservaste
contábamos	contaste
corríamos	corriste
dábamos	diste
decidíamos	decidiste
determinábamos	determinaste
dirigíamos	dirigiste
elegíamos	elegiste
enfrentábamos	enfrentaste
enviábamos	enviaste
escuchábamos	escuchaste
expresábamos	expresaste
facilitábamos	facilitaste
fomentábamos	fomentaste
guardábamos	guardaste
habilitábamos	habilitaste
hacíamos	hiciste
iniciábamos	iniciaste
integrábamos	integraste
leíamos	leíste
limpiábamos	limpiaste
llegábamos	llegaste
modificábamos	modificaste
obteníamos	obtuviste
ofrecíamos	ofreciste
pasábamos	pasaste
perdíamos	perdiste
preguntábamos	preguntaste
presentábamos	presentaste
proveíamos	proveíste
realizábamos	realizaste
reducíamos	redujiste
respetábamos	respetaste
sacábamos	sacaste
satisfacíamos	satisficiste
sentábamos	sentaste
sufríamos	sufriste
vendíamos	vendiste
veíamos	viste
verificábamos	verificaste
volábamos	volaste
