adoptaban	adoptaste
alcanzaban	alcanzaste
alentaban	alentaste
averiguaban	averiguaste
ayudaban	ayudaste
bailaban	bailaste
cantaban	cantaste
casaban	casaste
cerraban	cerraste
combatían	combatiste
comían	comiste
confiaban	confiaste
consideraban	consideraste
creaban	creaste
cuidaban	cuidaste
cumplían	cumpliste
daban	diste
describían	describiste
disfrutaban	disfrutaste
encontraban	encontraste
enfrentaban	enfrentaste
examinaban	examinaste
explicaban	explicaste
exploraban	exploraste
gestionaban	gestionaste
habían	hubiste
identificaban	identificaste
integraban	integraste
limitaban	limitaste
lograban	lograste
mantenían	mantuviste
ocurrían	ocurriste
ofrecían	ofreciste
permanecían	permaneciste
podían	pudiste
protegían	protegiste
recibían	recibiste
referían	referiste
resolvían	resolviste
rompían	rompiste
eran	fuiste
solicitaban	solicitaste
tenían	tuviste
unían	uniste
usaban	usaste
utilizaban	utilizaste
vendían	vendiste
verificaban	verificaste
viajaban	viajaste
visitaban	visitaste
