actuasteis	actuaría
agradecisteis	agradecería
animasteis	animaría
asististeis	asistiría
bebisteis	bebería
completasteis	completaría
comprasteis	compraría
concluisteis	concluiría
consististeis	consistiría
contuvisteis	contendría
contribuisteis	contribuiría
cooperasteis	cooperaría
corristeis	correría
disteis	daría
dijisteis	diría
dependisteis	dependería
desarrollasteis	desarrollaría
descargasteis	descargaría
designasteis	designaría
destruisteis	destruiría
ejecutasteis	ejecutaría
entendisteis	entendería
entrasteis	entraría
enviasteis	enviaría
escapasteis	escaparía
esperasteis	esperaría
explorasteis	exploraría
firmasteis	firmaría
fortalecisteis	fortalecería
gastasteis	gastaría
guardasteis	guardaría
incluisteis	incluiría
iniciasteis	iniciaría
introdujisteis	introduciría
lograsteis	lograría
luchasteis	lucharía
manejasteis	manejaría
mencionasteis	mencionaría
moristeis	moriría
partisteis	partiría
produjisteis	produciría
realizasteis	realizaría
reforzasteis	reforzaría
representasteis	representaría
servisteis	serviría
sobrevivisteis	sobreviviría
trabajasteis	trabajaría
usasteis	usaría
utilizasteis	utilizaría
volvisteis	volvería
