abrían	abristeis
aceleraban	acelerasteis
avanzaban	avanzasteis
bebían	bebisteis
caminaban	caminasteis
cantaban	cantasteis
cerraban	cerrasteis
comenzaban	comenzasteis
completaban	completasteis
compraban	comprasteis
conducían	condujisteis
consistían	consististeis
consolidaban	consolidasteis
construían	construisteis
contenían	contuvisteis
cubrían	cubristeis
cuidaban	cuidasteis
daban	disteis
decidían	decidisteis
describían	describisteis
desempeñaban	desempeñasteis
entendían	entendisteis
enviaban	enviasteis
evitaban	evitasteis
existían	exististeis
formaban	formasteis
hacían	hicisteis
identificaban	identificasteis
implicaban	implicasteis
incluían	incluisteis
leían	leísteis
llamaban	llamasteis
observaban	observasteis
obtenían	obtuvisteis
ocurrían	ocurristeis
pagaban	pagasteis
paraban	parasteis
pensaban	pensasteis
preparaban	preparasteis
producían	produjisteis
publicaban	publicasteis
recordaban	recordasteis
recuperaban	recuperasteis
respondían	respondisteis
seguían	seguisteis
solicitaban	solicitasteis
tenían	tuvisteis
terminaban	terminasteis
tocaban	tocasteis
usaban	usasteis
