analizabas	analizaremos
anunciabas	anunciaremos
apoyabas	apoyaremos
asistías	asistiremos
aumentabas	aumentaremos
combatías	combatiremos
consistías	consistiremos
consolidabas	consolidaremos
cooperabas	cooperaremos
crecías	creceremos
dabas	daremos
descargabas	descargaremos
describías	describiremos
determinabas	determinaremos
dirigías	dirigiremos
disfrutabas	disfrutaremos
elaborabas	elaboraremos
eliminabas	eliminaremos
enseñabas	enseñaremos
entendías	entenderemos
escapabas	escaparemos
existías	existiremos
expresabas	expresaremos
firmabas	firmaremos
ganabas	ganaremos
guardabas	guardaremos
imponías	impondremos
ibas	iremos
jugabas	jugaremos
llevabas	llevaremos
movías	moveremos
ocurrías	ocurriremos
olvidabas	olvidaremos
parecías	pareceremos
participabas	participaremos
perdías	perderemos
permitías	permitiremos
proporcionabas	proporcionaremos
representabas	representaremos
requerías	requeriremos
respondías	responderemos
robabas	robaremos
solicitabas	solicitaremos
tenías	tendremos
tocabas	tocaremos
traías	traeremos
usabas	usaremos
utilizabas	utilizaremos
vivías	viviremos
volabas	volaremos
