actué	actuaría
adopté	adoptaría
adquirí	adquiriría
alenté	alentaría
animé	animaría
aseguré	aseguraría
asumí	asumiría
atraje	atraería
avancé	avanzaría
bailé	bailaría
caminé	caminaría
casé	casaría
causé	causaría
cerré	cerraría
comprobé	comprobaría
conté	contaría
continué	continuaría
coordiné	coordinaría
creé	crearía
cubrí	cubriría
definí	definiría
destaqué	destacaría
discutí	discutiría
ejercí	ejercería
entré	entraría
escapé	escaparía
exploré	exploraría
fallé	fallaría
formé	formaría
fortalecí	fortalecería
hablé	hablaría
incrementé	incrementaría
indiqué	indicaría
instalé	instalaría
mostré	mostraría
necesité	necesitaría
obtuve	obtendría
pregunté	preguntaría
preservé	preservaría
produje	produciría
realicé	realizaría
recogí	recogería
reduje	reduciría
representé	representaría
resolví	resolvería
supe	sabría
saqué	sacaría
sugerí	sugeriría
supervisé	supervisaría
terminé	terminaría
