habilidad	habilidades
actividad	actividades
autoridad	autoridades
ciudad	ciudades
comunidad	comunidades
país	países
deber	deberes
facilidad	facilidades
oportunidad	oportunidades
propiedad	propiedades
responsabilidad	responsabilidades
sociedad	sociedades
universidad	universidades
variedad	variedades
director	directores
dios	dioses
ley	leyes
mes	meses
jugador	jugadores
población	poblaciones
rol	roles
solución	soluciones
canción	canciones
versión	versiones
pared	paredes
reloj	relojes
árbol	árboles
cañón	cañones
color	colores
nuez	nueces
nariz	narices
voz	voces
vez	veces
imagen	imágenes
luz	luces
papel	papeles
botón	botones
avión	aviones
calcetín	calcetines
lápiz	lapices
amor	amores
actitud	actitudes
botón	botones
dolor	dolores
espiral	espirales
examen	exámenes
hogar	hogares
mar	mares
mujer	mujeres
violín	violines
