aceptabas	aceptarás
adoptabas	adoptarás
alcanzabas	alcanzarás
alentabas	alentarás
animabas	animarás
atraías	atraerás
ayudabas	ayudarás
caías	caerás
cambiabas	cambiarás
causabas	causarás
cerrabas	cerrarás
combatías	combatirás
comprabas	comprarás
comprendías	comprenderás
concluías	concluirás
considerabas	considerarás
continuabas	continuarás
decidías	decidirás
demostrabas	demostrarás
elaborabas	elaborarás
enfrentabas	enfrentarás
escapabas	escaparás
escuchabas	escucharás
facilitabas	facilitarás
funcionabas	funcionarás
gastabas	gastarás
generabas	generarás
habilitabas	habilitarás
impedías	impedirás
informabas	informarás
integrabas	integrarás
investigabas	investigarás
jugabas	jugarás
llamabas	llamarás
llorabas	llorarás
lograbas	lograrás
mejorabas	mejorarás
mencionabas	mencionarás
mirabas	mirarás
movías	moverás
organizabas	organizarás
parecías	parecerás
producías	producirás
salvabas	salvarás
sentías	sentirás
solicitabas	solicitarás
superabas	superarás
tenías	tendrás
unías	unirás
veías	verás
