abandonaron	abandonaríais
abordaron	abordaríais
administraron	administraríais
adoptaron	adoptaríais
alentaron	alentaríais
anunciaron	anunciaríais
aplicaron	aplicaríais
aumentaron	aumentaríais
bailaron	bailaríais
condujeron	conduciríais
confiaron	confiaríais
construyeron	construiríais
contribuyeron	contribuiríais
coordinaron	coordinaríais
desarrollaron	desarrollaríais
descargaron	descargaríais
designaron	designaríais
destacaron	destacaríais
ejecutaron	ejecutaríais
elaboraron	elaboraríais
eligieron	elegiríais
escribieron	escribiríais
estuvieron	estaríais
evitaron	evitaríais
explicaron	explicaríais
firmaron	firmaríais
fomentaron	fomentaríais
formaron	formaríais
incluyeron	incluiríais
introdujeron	introduciríais
leyeron	leeríais
lloraron	lloraríais
mejoraron	mejoraríais
miraron	miraríais
obtuvieron	obtendríais
partieron	partiríais
preguntaron	preguntaríais
promovieron	promoveríais
regresaron	regresaríais
requirieron	requeriríais
respetaron	respetaríais
robaron	robaríais
sacaron	sacaríais
salieron	saldríais
sobrevivieron	sobreviviríais
solicitaron	solicitaríais
utilizaron	utilizaríais
vinieron	vendríais
vivieron	viviríais
votaron	votaríais
