amarillo	amarillito
amigo	amiguito
azul	azulito
barril	barrilito
cacho	cachito
chico	chiquito
chino	chinito
chupar	chupito
cielo	cielito
coco	coquito
conejo	conejito
coral	coralito
corto	cortito
cristal	cristalito
cuero	cuerito
equipo	equipito
farol	farolito
fino	finito
gallo	gallito
gusto	gustito
hueso	huesito
igual	igualito
juego	jueguito
juguete	juguetito
libro	librito
loco	loquito
mal	malito
mantel	mantelito
mosca	mosquito
motor	motorcito
muchacho	muchachito
muñeco	muñequito
negro	negrito
oso	osito
pato	patito
pelo	pelito
pequeño	pequeñito
perico	periquito
perro	perrito
pie	piecito
pito	pitito
poco	poquito
primo	primito
queso	quesito
rato	ratito
ratón	ratoncito
señor	señorito
sol	solecito
tonto	tontito
tren	trencito
