abandona	abandonaría
acepta	aceptaría
asegura	aseguraría
aumenta	aumentaría
ayuda	ayudaría
canta	cantaría
causa	causaría
compra	compraría
comprende	comprendería
concluye	concluiría
consolida	consolidaría
contribuye	contribuiría
convierte	convertiría
descarga	descargaría
describe	describiría
destruye	destruiría
elabora	elaboraría
envía	enviaría
establece	establecería
estudia	estudiaría
evade	evadiría
evalúa	evaluaría
explora	exploraría
facilita	facilitaría
gana	ganaría
ha	habría
incluye	incluiría
inicia	iniciaría
integra	integraría
intenta	intentaría
juega	jugaría
lee	leería
limita	limitaría
lleva	llevaría
mejora	mejoraría
organiza	organizaría
para	pararía
participa	participaría
piensa	pensaría
pone	pondría
preserva	preservaría
previene	prevendría
recoge	recogería
roba	robaría
sabe	sabría
saca	sacaría
sienta	sentaría
sugiere	sugeriría
visita	visitaría
vuela	volaría
