abriste	abrirían
aplicaste	aplicarían
aprendiste	aprenderían
asumiste	asumirían
aumentaste	aumentarían
averiguaste	averiguarían
bebiste	beberían
caíste	caerían
compraste	comprarían
condujiste	conducirían
confirmaste	confirmarían
consolidaste	consolidarían
continuaste	continuarían
corriste	correrían
creaste	crearían
describiste	describirían
dirigiste	dirigirían
ejerciste	ejercerían
empezaste	empezarían
enseñaste	enseñarían
entraste	entrarían
enviaste	enviarían
estuviste	estarían
estudiaste	estudiarían
generaste	generarían
gestionaste	gestionarían
guardaste	guardarían
imaginaste	imaginarían
implicaste	implicarían
intentaste	intentarían
introdujiste	introducirían
llamaste	llamarían
lograste	lograrían
mostraste	mostrarían
permaneciste	permanecerían
permitiste	permitirían
preguntaste	preguntarían
probaste	probarían
propusiste	propondrían
redujiste	reducirían
reemplazaste	reemplazarían
representaste	representarían
requeriste	requerirían
robaste	robarían
rompiste	romperían
saliste	saldrían
seleccionaste	seleccionarían
sugeriste	sugerirían
usaste	usarían
viajaste	viajarían
